code,name,price,exchange,amount
600738,丽尚国潮,4.79,4493.88万,36.44亿
600739,辽宁成大,11.45,2.45亿,175.15亿
600740,山西焦化,4.16,8446.80万,106.58亿
600741,华域汽车,16.92,5.86亿,533.44亿
600742,一汽富维,9.40,1.60亿,69.85亿
600743,华远地产,1.85,1.12亿,43.40亿
600744,华银电力,3.32,1.24亿,67.43亿
600745,闻泰科技,42.93,18.89亿,534.09亿
600746,江苏索普,7.05,2876.49万,82.21亿
600748,上实发展,3.57,9811.43万,65.85亿
600749,西藏旅游,11.21,5815.27万,25.44亿
600750,江中药业,21.27,1.06亿,133.06亿
600751,海航科技,2.84,1.19亿,73.08亿
600753,庚星股份,7.39,3639.22万,17.02亿
